global_planner,algorithm,algorithm_name,sim_n,sim_success,sim_rank,real_n,real_success,real_rank,rank_shift
astar,orca_heuristic,ORCA (heuristic),400,0.8075,1,100,0.79,1,0
astar,mpc,MPC,400,0.8025,2,100,0.66,3,-1
astar,mpc_dompc,MPC (do-mpc),400,0.78,3,100,0.64,6,-3
astar,sarl_upstream,SARL (upstream),400,0.75,4,100,0.75,2,2
astar,sarl,SARL,400,0.7425,5,99,0.3333,14,-9
astar,cadrl,CADRL,400,0.7375,6,100,0.6,8,-2
astar,teb_upstream,TEB (upstream),400,0.7375,7,100,0.6,10,-3
astar,dwa,DWA,400,0.7275,8,100,0.62,7,1
astar,lstm_rl,LSTM-RL,400,0.7175,9,100,0.64,5,4
astar,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.665,10,100,0.47,12,-2
astar,lstm_rl_upstream,LSTM-RL (upstream),400,0.6575,11,100,0.6,9,2
astar,orca,ORCA (RVO2),400,0.615,12,100,0.66,4,8
astar,astar,A*,400,0.57,13,100,0.39,13,0
astar,teb,TEB,400,0.49,14,100,0.26,17,-3
astar,rrt,RRT,400,0.4825,15,100,0.31,15,0
astar,dijkstra,Dijkstra,400,0.4675,16,100,0.3,16,0
astar,cadrl_upstream,CADRL (upstream),400,0.43,17,100,0.14,18,-1
astar,crowdnav_attngraph,CrowdNav AttnGraph,400,0.345,18,100,0.51,11,7
dijkstra,mpc_dompc,MPC (do-mpc),400,0.7775,1,100,0.64,6,-5
dijkstra,mpc,MPC,400,0.775,2,100,0.66,3,-1
dijkstra,orca_heuristic,ORCA (heuristic),400,0.7675,3,100,0.79,1,2
dijkstra,sarl,SARL,400,0.7325,4,99,0.3333,14,-10
dijkstra,cadrl,CADRL,400,0.73,5,100,0.6,8,-3
dijkstra,sarl_upstream,SARL (upstream),400,0.725,6,100,0.75,2,4
dijkstra,teb_upstream,TEB (upstream),400,0.7125,7,100,0.6,10,-3
dijkstra,dwa,DWA,400,0.71,8,100,0.62,7,1
dijkstra,lstm_rl,LSTM-RL,400,0.7025,9,100,0.64,5,4
dijkstra,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.65,10,100,0.47,12,-2
dijkstra,lstm_rl_upstream,LSTM-RL (upstream),400,0.6375,11,100,0.6,9,2
dijkstra,orca,ORCA (RVO2),400,0.585,12,100,0.66,4,8
dijkstra,astar,A*,400,0.56,13,100,0.39,13,0
dijkstra,teb,TEB,400,0.48,14,100,0.26,17,-3
dijkstra,dijkstra,Dijkstra,400,0.465,15,100,0.3,16,-1
dijkstra,rrt,RRT,400,0.46,16,100,0.31,15,1
dijkstra,cadrl_upstream,CADRL (upstream),400,0.4375,17,100,0.14,18,-1
dijkstra,crowdnav_attngraph,CrowdNav AttnGraph,400,0.3475,18,100,0.51,11,7
rrt,mpc_dompc,MPC (do-mpc),400,0.8025,1,100,0.58,4,-3
rrt,mpc,MPC,398,0.7864,2,100,0.61,2,0
rrt,cadrl,CADRL,400,0.72,3,100,0.54,6,-3
rrt,orca_heuristic,ORCA (heuristic),400,0.72,4,100,0.77,1,3
rrt,sarl,SARL,399,0.7018,5,100,0.28,15,-10
rrt,sarl_upstream,SARL (upstream),400,0.6675,6,100,0.56,5,1
rrt,lstm_rl,LSTM-RL,399,0.6541,7,100,0.46,9,-2
rrt,dwa,DWA,400,0.65,8,100,0.45,10,-2
rrt,orca,ORCA (RVO2),400,0.605,9,100,0.6,3,6
rrt,crowdnav_dsrnn,CrowdNav DS-RNN,400,0.6,10,100,0.53,7,3
rrt,lstm_rl_upstream,LSTM-RL (upstream),400,0.52,11,100,0.47,8,3
rrt,astar,A*,400,0.47,12,100,0.26,16,-4
rrt,crowdnav_attngraph,CrowdNav AttnGraph,398,0.4422,13,100,0.43,11,2
rrt,teb_upstream,TEB (upstream),400,0.4,14,100,0.38,12,2
rrt,teb,TEB,400,0.39,15,100,0.31,14,1
rrt,dijkstra,Dijkstra,400,0.3625,16,100,0.34,13,3
rrt,cadrl_upstream,CADRL (upstream),400,0.2825,17,100,0.08,18,-1
rrt,rrt,RRT,400,0.2125,18,100,0.17,17,1
